user_id,group_id
3561233,15324
11303855,15324
15687471,15324
74372122,15324
75621912,15324
3966526,15324
4425847,15324
6874829,15324
1931407,15324
2242034,15324
2921855,15324
5979793,15324
10213539,15324
13410275,15324
51207112,15324
71843432,15324
9572964,15324
10119258,15324
11361912,15324
15233331,15324
30133612,15324
51294532,15324
1437064,15324
1927173,15324
7355939,15324
9944708,15324
9980869,15324
23527331,15324
67352212,15324
3344209,15324
12775391,15324
81520922,15324
2113690,15324
5006346,15324
9487936,15324
11694728,15324
63627662,15324
106199572,15324
6370031,15324
10143027,15324
10956411,15324
1850986,15324
3724029,15324
4583137,15324
59508192,15324
719099,15324
9658915,15324
32599132,15324
52038522,15324
1919260,15324
5918377,15324
42334842,15324
1951756,15324
9481920,15324
11297249,15324
21478241,15324
71455362,15324
1602608,15324
2920495,15324
13824120,15324
14202323,15324
49687642,15324
74846712,15324
4174693,19875
4912395,19875
9693923,19875
15687471,19875
34467472,19875
66856592,19875
69837162,19875
1801305,19875
2525803,19875
3386222,19875
7230346,19875
60118092,19875
71404002,19875
71865602,19875
3278666,19875
4016275,19875
10119258,19875
10264593,19875
11639824,19875
4438255,19875
5874319,19875
8019525,19875
8448039,19875
10381723,19875
22380011,19875
5462795,19875
13513634,19875
34857402,19875
39154902,19875
2876431,19875
10672496,19875
42863302,19875
3517298,19875
7258178,19875
10051754,19875
76345572,19875
5574088,19875
6218632,19875
13070875,19875
44650852,19875
52038522,19875
3775776,19875
8086771,19875
11297249,19875
39427422,19875
1602608,19875
2217798,19875
12038239,19875
12894093,19875
2177861,22211
2294180,22211
3077080,22211
3256345,22211
4439521,22211
5761328,22211
5868310,22211
8898988,22211
9065678,22211
9197744,22211
12303257,22211
12639037,22211
36278932,22211
88263102,22211
100429292,22211
3994588,22211
6829861,22211
7778216,22211
8509964,22211
9363743,22211
9810993,22211
13302046,22211
13410275,22211
25266802,22211
30378632,22211
51207112,22211
53846652,22211
75996052,22211
87805682,22211
90923532,22211
91940192,22211
95319162,22211
126392242,22211
1931407,22211
2358808,22211
3081917,22211
3278666,22211
3345133,22211
6348970,22211
7103043,22211
8298447,22211
8853062,22211
10213539,22211
13258687,22211
30133612,22211
44597432,22211
57361872,22211
66053112,22211
75761732,22211
88380082,22211
96238142,22211
102041472,22211
109310622,22211
2797596,22211
3408943,22211
5547289,22211
7191179,22211
7355939,22211
8074077,22211
8458871,22211
8535744,22211
9980869,22211
10883429,22211
12915653,22211
13426110,22211
13621681,22211
14431774,22211
23172681,22211
38898582,22211
75970442,22211
78767222,22211
81090102,22211
122100822,22211
1999157,22211
2180405,22211
2975166,22211
3352815,22211
5533863,22211
5874319,22211
7884003,22211
7922665,22211
8208923,22211
9470872,22211
30700482,22211
34857402,22211
36755832,22211
39398622,22211
70882002,22211
71118782,22211
74510322,22211
74965872,22211
92641912,22211
94204522,22211
103353042,22211
109772422,22211
118030782,22211
121154932,22211
2173812,22211
5507086,22211
5524842,22211
7044016,22211
9254651,22211
10479284,22211
13653702,22211
14493255,22211
55673812,22211
56893242,22211
59445312,22211
63627662,22211
71763432,22211
843624,22211
1850986,22211
3959366,22211
5459112,22211
6923672,22211
8488308,22211
9836463,22211
10828873,22211
11811569,22211
38997552,22211
46262382,22211
46735882,22211
138089082,22211
1076877,22211
2714780,22211
4352771,22211
6218632,22211
7895644,22211
9451173,22211
13116146,22211
13609228,22211
13682286,22211
13721418,22211
53827762,22211
84444762,22211
110120212,22211
274877,22211
1919260,22211
11297249,22211
12416913,22211
20232231,22211
24859472,22211
32118902,22211
36204252,22211
37047172,22211
38411072,22211
44452632,22211
51530432,22211
52779922,22211
85547022,22211
89417612,22211
93517352,22211
104835682,22211
116375972,22211
118385822,22211
817371,22211
1869902,22211
1951756,22211
2956298,22211
7698252,22211
11529748,22211
12010647,22211
21478241,22211
50538742,22211
63824852,22211
65019502,22211
88066132,22211
95138032,22211
109415192,22211
1602608,22211
2604064,22211
10875597,22211
60245502,22211
3466187,25709
7092500,25709
12789847,25709
13442249,25709
13500110,25709
42068832,25709
9381387,25709
73630902,25709
3344209,25709
3776109,25709
13513634,25709
48974022,25709
65281032,25709
71892632,25709
13609228,25709
14116197,25709
7953389,25709
9155802,25709
13560288,25709
25063022,25709
37047172,25709
60909382,25709
12011815,33104
12176775,33104
13410275,33104
1828946,33104
7616575,33104
10428729,33104
30592682,33104
3014038,33104
3154749,33104
6520725,33104
40834212,33104
81520922,33104
121154932,33104
1850986,33104
72952612,33104
74934092,33104
82603922,33104
115896912,33104
1951756,33104
2956298,33104
4255800,33104
11297249,33104
33556012,33104
13310010,33104
25534702,33104
51696552,33104
2287055,45720
6485829,45720
11303855,45720
12563168,45720
13285877,45720
29933972,45720
44663912,45720
526815,45720
914513,45720
1931407,45720
2525803,45720
3386222,45720
4897039,45720
70606292,45720
95511502,45720
1828946,45720
2298742,45720
